Movies Titles,Movies Years,Movies Genre,Movies IMDB Rating,Movies Runtime,Movies Production Country,Movies Streaming Platforms
Laapataa Ladies,2024,"Comedy, Drama",8.5,2h 2min,India,"Bookmyshow , Netflix"
Manjummel Boys,2024,"Mystery & Thriller, Drama, Action & Adventure",8.4,2h 15min,India,"Bookmyshow , Hotstar"
Aavesham,2024,"Action & Adventure, Comedy",8.0,2h 38min,India,"Bookmyshow , Amazon Video , Amazon Prime Video"
Family Star,2024,"Action & Adventure, Drama, Comedy, Romance",5.1,2h 39min,India,"Amazon Video , Amazon Prime Video"
Shaitaan,2024,"Horror, Mystery & Thriller, Drama",6.7,2h 12min,India,Netflix
Madgaon Express,2024,"Comedy, Drama",7.3,2h 23min,India,"Amazon Video , Amazon Prime Video"
Godzilla x Kong: The New Empire,2024,"Action & Adventure, Fantasy, Science-Fiction, Mystery & Thriller",6.3,1h 55min,"United States, Australia","Google Play Movies , Amazon Video , Apple TV , Bookmyshow , YouTube"
Crew,2024,"Comedy, Drama",6.4,1h 58min,India,"Bookmyshow , Netflix"
Yodha,2024,"Mystery & Thriller, Drama, Action & Adventure",5.7,2h 10min,"United States, India","Amazon Video , Amazon Prime Video"
Article 370,2024,"Action & Adventure, Drama, Mystery & Thriller",8.0,2h 38min,India,Netflix
Premalu,2024,"Comedy, Romance",7.9,2h 36min,India,"Hotstar , aha"
Dune: Part Two,2024,"Science-Fiction, Drama, Action & Adventure",8.6,2h 47min,United States,"Google Play Movies , Apple TV , Bookmyshow , YouTube"
Kung Fu Panda 4,2024,"Fantasy, Animation, Action & Adventure, Comedy, Kids & Family",6.3,1h 34min,United States,"Apple TV , Bookmyshow , Amazon Video , Zee5"
Oppenheimer,2023,"Drama, History",8.3,3h 0min,"United States, United Kingdom","Google Play Movies , YouTube , Jio Cinema , Hungama Play , Apple TV , Zee5 , Amazon Video"
Monkey Man,2024,"Mystery & Thriller, Action & Adventure",7.2,2h 1min,"Canada, Singapore, United States","Amazon Video , Amazon Prime Video"
Teri Baaton Mein Aisa Uljha Jiya,2024,"Comedy, Drama, Romance, Science-Fiction",6.3,2h 21min,India,"Amazon Video , Amazon Prime Video"
Tillu Square,2024,"Comedy, Crime, Drama, Romance, Mystery & Thriller",6.8,2h 17min,India,Netflix
Hanu-Man,2024,"Science-Fiction, Fantasy, Action & Adventure, Comedy",7.9,2h 39min,India,"Jio Cinema , Hotstar , Zee5"
Hereditary,2018,"Mystery & Thriller, Horror, Drama",7.3,2h 7min,United States,"VI movies and tv , MUBI , Amazon Prime Video"
The Beekeeper,2024,"Action & Adventure, Mystery & Thriller, Drama",6.4,1h 45min,"United Kingdom, United States","Lionsgate Play , Lionsgate Play Amazon Channel , Lionsgate Play Apple TV Channel"
Godzilla Minus One,2023,"Science-Fiction, Action & Adventure, Drama, Horror",8.0,2h 5min,Japan,"Amazon Video , Amazon Prime Video"
Anyone But You,2023,"Romance, Comedy",6.1,1h 44min,United States,"Google Play Movies , YouTube , Netflix , Apple TV , Zee5 , Amazon Video"
The Idea of You,2024,"Romance, Comedy, Drama",6.4,1h 56min,United States,Amazon Prime Video
Dune,2021,"Science-Fiction, Action & Adventure, Drama",8.0,2h 35min,United States,"Google Play Movies , Amazon Video , Netflix , Apple TV , YouTube"
Zara Hatke Zara Bachke,2023,"Comedy, Drama, Romance, Kids & Family",6.3,2h 20min,India,Jio Cinema
Animal,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",6.2,3h 21min,India,"Bookmyshow , Netflix"
12th Fail,2023,Drama,8.9,2h 27min,India,"Bookmyshow , Hotstar"
777 Charlie,2022,"Comedy, Drama, Action & Adventure",8.7,2h 46min,India,"Google Play Movies , Jio Cinema , Apple TV , Amazon Prime Video , YouTube"
Amar Singh Chamkila,2024,"Music & Musical, Romance, Drama",8.0,2h 25min,India,Netflix
Anatomy of a Fall,2023,"Mystery & Thriller, Crime, Drama",7.7,2h 32min,France,Amazon Prime Video
Madame Web,2024,"Fantasy, Action & Adventure, Science-Fiction, Mystery & Thriller",3.9,1h 56min,United States,"Google Play Movies , YouTube , Netflix , Apple TV , Zee5 , Amazon Video"
