TV Show Titles,TV Show Years,TV Show Genre,TV Show IMDB Rating,TV Show Runtime,TV Show Production Country,TV Show Streaming Platforms
Heeramandi: The Diamond Bazaar,2024,"Drama, History, Romance, War & Military",6.5,55min,India,Netflix
Panchayat,2020,"Comedy, Drama",8.9,33min,India,Amazon Prime Video
Shōgun,2024,"War & Military, Drama, History",8.7,59min,United States,Hotstar
Mirzapur,2018,"Crime, Action & Adventure, Drama, Mystery & Thriller",8.5,50min,India,Amazon Prime Video
Fallout,2024,"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",8.5,59min,United States,Amazon Prime Video
Game of Thrones,2011,"Action & Adventure, Drama, Fantasy, Science-Fiction",9.2,58min,"United States, United Kingdom",Jio Cinema
Dead Boy Detectives,2024,"Action & Adventure, Comedy, Crime, Drama, Fantasy, Horror, Mystery & Thriller, Science-Fiction",7.6,54min,United States,Netflix
Murder in Mahim,2024,Drama,7.6,42min,India,Jio Cinema
3 Body Problem,2024,"Drama, Science-Fiction, Mystery & Thriller, Fantasy",7.5,56min,United States,Netflix
Young Sheldon,2017,Comedy,7.7,20min,United States,"Netflix , Amazon Prime Video"
Apharan,2018,"Drama, Crime, Mystery & Thriller, Action & Adventure",8.3,24min,India,"Alt Balaji , Jio Cinema"
Baby Reindeer,2024,"Drama, Comedy",7.9,34min,United Kingdom,Netflix
Attack on Titan,2013,"Fantasy, Horror, Animation, Action & Adventure, Drama, Science-Fiction",9.0,25min,Japan,Amazon Prime Video
Bridgerton,2020,"Drama, Romance",7.4,1h 1min,United States,Netflix
Sunflower,2021,"Comedy, Crime",7.4,38min,India,"VI movies and tv , Zee5"
Maxton Hall: The World Between Us,2024,"Romance, Drama",7.7,47min,Germany,Amazon Prime Video
Aashram,2020,"Drama, Crime, Mystery & Thriller",7.4,43min,India,MX Player
Dil Dosti Dilemma,2024,"Drama, Comedy",6.5,40min,India,Amazon Prime Video
"Thank You, Next",2024,"Romance, Comedy, Drama",5.6,44min,Turkey,Netflix
Ranneeti: Balakot & Beyond,2024,"Action & Adventure, War & Military",7.8,40min,India,Jio Cinema
Farzi,2023,"Crime, Drama, Mystery & Thriller",8.4,56min,India,Amazon Prime Video
